SYMBOL,SYMBOL WITH NS,'SYMBOL WITH NS,TICKERS,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
SUNDRMBRAK,SUNDRMBRAK.NS,'SUNDRMBRAK.NS,'SUNDRMFAST.NS',Sundaram Brake Linings Limited,EQ,17-Jul-1996,10,1,INE073D01013,10
SUNDRMFAST,SUNDRMFAST.NS,'SUNDRMFAST.NS,'SUNFLAG.NS',Sundram Fasteners Limited,EQ,07-Jun-2000,1,1,INE387A01021,1
SUNFLAG,SUNFLAG.NS,'SUNFLAG.NS,'SUNPHARMA.NS',Sunflag Iron And Steel Company Limited,EQ,29-Sep-2005,10,1,INE947A01014,10
SUNPHARMA,SUNPHARMA.NS,'SUNPHARMA.NS,'SUNTECK.NS',Sun Pharmaceutical Industries Limited,EQ,08-Feb-1995,1,1,INE044A01036,1
SUNTECK,SUNTECK.NS,'SUNTECK.NS,'SUNTV.NS',Sunteck Realty Limited,EQ,13-Nov-2009,1,1,INE805D01034,1
SUNTV,SUNTV.NS,'SUNTV.NS,'SUPERHOUSE.NS',Sun TV Network Limited,EQ,24-Apr-2006,5,1,INE424H01027,5
SUPERHOUSE,SUPERHOUSE.NS,'SUPERHOUSE.NS,'SUPERSPIN.NS',Superhouse Limited,EQ,26-Sep-2014,10,1,INE712B01010,10
SUPERSPIN,SUPERSPIN.NS,'SUPERSPIN.NS,'SUPPETRO.NS',Super Spinning Mills Limited,EQ,08-Jul-2004,1,1,INE662A01027,1
SUPPETRO,SUPPETRO.NS,'SUPPETRO.NS,'SUPRAJIT.NS',Supreme Petrochem Limited,EQ,13-Oct-1999,10,1,INE663A01017,10
SUPRAJIT,SUPRAJIT.NS,'SUPRAJIT.NS,'SUPREMEENG.NS',Suprajit Engineering Limited,EQ,18-Feb-2005,1,1,INE399C01030,1
SUPREMEENG,SUPREMEENG.NS,'SUPREMEENG.NS,'SUPREMEIND.NS',Supreme Engineering Limited,EQ,04-Dec-2020,10,1,INE319Z01013,10
SUPREMEIND,SUPREMEIND.NS,'SUPREMEIND.NS,'SURANASOL.NS',Supreme Industries Limited,EQ,19-Jul-1995,2,1,INE195A01028,2
SURANASOL,SURANASOL.NS,'SURANASOL.NS,'SURANAT&P.NS',Surana Solar Limited,EQ,07-Jan-2011,5,1,INE272L01022,5
SURANAT&P,SURANAT&P.NS,'SURANAT&P.NS,'SURYALAXMI.NS',Surana Telecom and Power Limited,EQ,22-May-2002,1,1,INE130B01031,1
SURYALAXMI,SURYALAXMI.NS,'SURYALAXMI.NS,'SURYAROSNI.NS',Suryalakshmi Cotton Mills Limited,EQ,15-Jun-2005,10,1,INE713B01026,10
SURYAROSNI,SURYAROSNI.NS,'SURYAROSNI.NS,'SURYODAY.NS',Surya Roshni Limited,EQ,10-May-1995,10,1,INE335A01012,10
SURYODAY,SURYODAY.NS,'SURYODAY.NS,'SUTLEJTEX.NS',Suryoday Small Finance Bank Limited,EQ,26-Mar-2021,10,1,INE428Q01011,10
SUTLEJTEX,SUTLEJTEX.NS,'SUTLEJTEX.NS,'SUULD.NS',Sutlej Textiles and Industries Limited,EQ,14-Dec-2006,1,1,INE645H01027,1
SUULD,SUULD.NS,'SUULD.NS,'SUVEN.NS',Suumaya Industries Limited,EQ,19-Oct-2020,10,1,INE591Q01016,10
SUVEN,SUVEN.NS,'SUVEN.NS,'SUVENPHAR.NS',Suven Life Sciences Limited,EQ,23-Oct-2003,1,1,INE495B01038,1
SUVENPHAR,SUVENPHAR.NS,'SUVENPHAR.NS,'SUVIDHAA.NS',Suven Pharmaceuticals Limited,EQ,09-Mar-2020,1,1,INE03QK01018,1
SUVIDHAA,SUVIDHAA.NS,'SUVIDHAA.NS,'SUZLON.NS',Suvidhaa Infoserve Limited,EQ,31-Mar-2021,1,1,INE018401013,1
SUZLON,SUZLON.NS,'SUZLON.NS,'SWANENERGY.NS',Suzlon Energy Limited,EQ,19-Oct-2005,2,1,INE040H01021,2
SWANENERGY,SWANENERGY.NS,'SWANENERGY.NS,'SWARAJENG.NS',Swan Energy Limited,EQ,29-May-2012,1,1,INE665A01038,1
SWARAJENG,SWARAJENG.NS,'SWARAJENG.NS,'SWELECTES.NS',Swaraj Engines Limited,EQ,06-Dec-1995,10,1,INE277A01016,10
SWELECTES,SWELECTES.NS,'SWELECTES.NS,'SWSOLAR.NS',Swelect Energy Systems Limited,EQ,09-May-2006,10,1,INE409B01013,10
SWSOLAR,SWSOLAR.NS,'SWSOLAR.NS,'SYMPHONY.NS',Sterling And Wilson Solar Limited,EQ,20-Aug-2019,1,1,INE00M201021,1
SYMPHONY,SYMPHONY.NS,'SYMPHONY.NS,'SYNCOM.NS',Symphony Limited,EQ,15-Jun-2011,2,1,INE225D01027,2
SYNCOM,SYNCOM.NS,'SYNCOM.NS,'SYNGENE.NS',Syncom Healthcare Limited,BZ,15-Feb-2010,10,1,INE602K01014,10
SYNGENE,SYNGENE.NS,'SYNGENE.NS,'TAINWALCHM.NS',Syngene International Limited,EQ,11-Aug-2015,10,1,INE398R01022,10
TAINWALCHM,TAINWALCHM.NS,'TAINWALCHM.NS,'TAJGVK.NS',Tainwala Chemical and Plastic (I) Limited,EQ,27-Jul-1995,10,1,INE123C01018,10
TAJGVK,TAJGVK.NS,'TAJGVK.NS,'TAKE.NS',Taj GVK Hotels & Resorts Limited,EQ,20-Dec-2000,2,1,INE586B01026,2
TAKE,TAKE.NS,'TAKE.NS,'TALBROAUTO.NS',Take Solutions Limited,EQ,27-Aug-2007,1,1,INE142I01023,1
TALBROAUTO,TALBROAUTO.NS,'TALBROAUTO.NS,'TANLA.NS',Talbros Automotive Components Limited,EQ,29-Sep-2006,10,1,INE187D01011,10
TANLA,TANLA.NS,'TANLA.NS,'TANTIACONS.NS',Tanla Platforms Limited,EQ,05-Jan-2007,1,1,INE483C01032,1
TANTIACONS,TANTIACONS.NS,'TANTIACONS.NS,'TARAPUR.NS',Tantia Constructions Limited,BZ,19-Feb-2008,10,1,INE388G01018,10
TARAPUR,TARAPUR.NS,'TARAPUR.NS,'TARC.NS',Tarapur Transformers Limited,EQ,18-May-2010,10,1,INE747K01017,10
TARC,TARC.NS,'TARC.NS,'TARMAT.NS',Anant Raj Global Limited,EQ,18-Dec-2020,2,1,INE0EK901012,2
TARMAT,TARMAT.NS,'TARMAT.NS,'TASTYBITE.NS',Tarmat Limited,EQ,09-Jul-2007,10,1,INE924H01018,10
TASTYBITE,TASTYBITE.NS,'TASTYBITE.NS,'TATACHEM.NS',Tasty Bite Eatables Limited,EQ,23-Mar-2017,10,1,INE488B01017,10
TATACHEM,TATACHEM.NS,'TATACHEM.NS,'TATACOFFEE.NS',Tata Chemicals Limited,EQ,01-Apr-1999,10,1,INE092A01019,10
TATACOFFEE,TATACOFFEE.NS,'TATACOFFEE.NS,'TATACOMM.NS',Tata Coffee Limited,EQ,16-Feb-2000,1,1,INE493A01027,1
TATACOMM,TATACOMM.NS,'TATACOMM.NS,'TATACONSUM.NS',Tata Communications Limited,EQ,12-Apr-1995,10,1,INE151A01013,10
TATACONSUM,TATACONSUM.NS,'TATACONSUM.NS,'TATAELXSI.NS',TATA CONSUMER PRODUCTS LIMITED,EQ,18-Nov-1998,1,1,INE192A01025,1
TATAELXSI,TATAELXSI.NS,'TATAELXSI.NS,'TATAINVEST.NS',Tata Elxsi Limited,EQ,17-Sep-2003,10,1,INE670A01012,10
